기간	자치구별	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포
기간	자치구별	성별	성별	성별	직업별	직업별	직업별	직업별	직업별	직업별	직업별
기간	자치구별	합계	남자	여자	행정	연구	공수의	개업수의	학교	기타	단체
2013	중랑구	60	48	12	1	-	1	23	-	35	-
2013	성북구	58	53	5	1	5	1	33	-	18	-
2013	강북구	73	65	8	1	-	1	23	-	48	-
2013	도봉구	34	26	8	1	-	1	20	-	12	-
2013	노원구	50	37	13	1	2	1	37	-	9	-
2013	은평구	161	101	60	1	-	1	32	-	127	-
2013	서대문구	31	27	4	1	3	1	20	-	6	-
2013	마포구	76	54	22	1	-	1	44	-	30	-
2013	양천구	58	49	9	1	-	1	42	-	14	-
2013	강서구	162	122	40	2	25	1	49	-	85	-
2013	구로구	40	29	11	1	-	1	21	-	17	-
2013	금천구	20	16	4	1	-	1	11	-	7	-
2013	영등포구	51	42	9	-	-	1	31	-	19	-
2013	동작구	49	45	4	1	-	1	31	-	16	-
2013	관악구	108	85	23	1	2	1	29	72	-	3
2013	서초구	107	66	41	-	27	1	54	-	25	-
2013	강남구	221	165	56	2	3	1	85	-	130	-
2013	송파구	118	105	13	1	2	1	66	-	48	-
2013	강동구	59	45	14	1	-	1	41	-	16	-
2014	합계	1,827	1,388	439	32	17	25	841	140	764	8
2014	종로구	16	9	7	-	2	1	9	-	4	-
2014	중구	23	22	1	10	-	1	10	-	2	-
2014	용산구	28	24	4	1	-	1	26	-	-	-
2014	성동구	48	42	6	1	-	1	27	-	19	-
2014	광진구	179	124	55	1	1	1	38	72	61	5
2014	동대문구	51	39	12	1	-	1	28	-	21	-
2014	중랑구	60	48	12	1	-	1	24	-	34	-
2014	성북구	60	54	6	1	5	1	35	-	18	-
2014	강북구	56	49	7	1	-	1	24	-	30	-
2014	도봉구	36	34	2	1	-	1	22	-	12	-
2014	노원구	53	40	13	1	2	1	36	-	13	-
2014	은평구	163	101	62	1	-	1	34	-	127	-
2014	서대문구	31	27	4	1	3	1	20	-	6	-
2014	마포구	81	60	21	1	-	1	49	-	30	-
2014	양천구	59	50	9	1	-	1	43	-	14	-
2014	강서구	129	81	48	2	-	1	39	-	87	-
2014	구로구	43	29	14	1	-	1	22	-	19	-
2014	금천구	20	17	3	-	-	1	11	-	8	-
2014	영등포구	51	42	9	-	-	1	31	-	19	-
2014	동작구	30	26	4	1	-	1	28	-	-	-
2014	관악구	112	80	32	1	2	1	37	68	-	3
2014	서초구	97	72	25	-	-	1	50	-	46	-
2014	강남구	218	161	57	2	-	1	85	-	130	-
2014	송파구	124	112	12	1	2	1	72	-	48	-
2014	강동구	59	45	14	1	-	1	41	-	16	-
2015	합계	1,754	1,319	435	36	10	25	859	108	711	5
2015	종로구	11	7	4	-	-	1	10	-	-	-
2015	중구	28	23	5	13	-	1	12	-	2	-
2015	용산구	43	33	10	1	-	1	25	-	16	-
2015	성동구	48	42	6	¡©	¡©	1	26	-	21	-
2015	광진구	117	79	38	1	-	1	38	61	11	5
2015	동대문구	45	38	7	1	-	1	30	-	13	-
2015	중랑구	59	47	12	1	-	1	25	-	32	-
2015	성북구	74	58	16	1	5	1	36	-	31	-
2015	강북구	32	27	5	1	-	1	24	-	6	-
2015	도봉구	39	34	5	1	-	1	22	-	15	-
2015	노원구	68	43	25	1	2	1	39	-	25	-
2015	은평구	137	75	62	1	-	1	35	-	100	-
2015	서대문구	38	33	5	1	3	1	26	-	7	-
2015	마포구	90	66	24	-	-	1	46	-	43	-
2015	양천구	64	55	9	1	-	1	45	-	17	-
2015	강서구	71	60	11	2	-	1	43	-	25	-
2015	구로구	44	30	14	1	-	1	23	-	19	-
2015	금천구	24	19	5	1	-	1	10	-	12	-
2015	영등포구	65	51	14	-	-	1	35	-	29	-
2015	동작구	56	48	8	1	-	1	28	-	26	-
2015	관악구	88	60	28	1	-	1	27	47	12	-
2015	서초구	108	76	32	-	-	1	50	-	57	-
2015	강남구	227	172	55	3	-	1	92	-	131	-
2015	송파구	123	102	21	2	-	1	75	-	45	-
2015	강동구	55	41	14	1	-	1	37	-	16	-
2016	합계	1,827	1,369	458	35	5	25	894	115	748	5
2016	종로구	16	7	9	-	-	1	10	-	5	-
2016	중구	31	25	6	12	-	1	16	-	2	-
2016	용산구	49	31	18	1	-	1	26	-	21	-
2016	성동구	55	50	5	-	-	1	31	-	23	-
2016	광진구	123	89	34	1	-	1	38	65	13	5
2016	동대문구	47	40	7	1	-	1	32	-	13	-
2016	중랑구	63	49	14	1	-	1	26	-	35	-
2016	성북구	76	58	18	1	5	1	37	-	32	-
2016	강북구	33	28	5	1	-	1	25	-	6	-
2016	도봉구	41	34	7	1	-	1	21	-	18	-
2016	노원구	79	50	29	1	-	1	38	-	39	-
2016	은평구	137	75	62	1	-	1	35	-	100	-
2016	서대문구	38	32	6	1	-	1	30	-	6	-
2016	마포구	91	68	23	-	-	1	50	-	40	-
2016	양천구	64	55	9	1	-	1	45	-	17	-
2016	강서구	75	61	14	2	-	1	45	-	27	-
2016	구로구	47	35	12	1	-	1	23	-	22	-
2016	금천구	24	19	5	1	-	1	11	-	11	-
2016	영등포구	55	45	10	-	-	1	33	-	21	-
2016	동작구	57	45	12	1	-	1	29	-	26	-
2016	관악구	92	65	27	1	-	1	28	50	12	-
2016	서초구	114	79	35	-	-	1	49	-	64	-
2016	강남구	243	180	63	3	-	1	98	-	141	-
2016	송파구	121	100	21	2	-	1	75	-	43	-
2016	강동구	56	49	7	1	-	1	43	-	11	-
2017	합계	1,845	1,377	468	33	5	25	912	95	770	5
2017	종로구	16	8	8	-	-	1	9	-	6	-
2017	중구	31	25	6	12	-	1	16	-	2	-
2017	용산구	48	38	10	1	-	1	28	-	18	-
2017	성동구	51	47	4	-	-	1	31	-	19	-
2017	광진구	103	74	29	1	-	1	38	45	13	5
2017	동대문구	49	35	14	-	-	1	31	-	17	-
2017	중랑구	62	49	13	1	-	1	26	-	34	-
2017	성북구	69	53	16	1	5	1	33	-	29	-
2017	강북구	55	40	15	1	-	1	48	-	5	-
2017	도봉구	41	34	7	1	-	1	21	-	18	-
2017	노원구	79	50	29	1	-	1	38	-	39	-
2017	은평구	137	75	62	1	-	1	35	-	100	-
2017	서대문구	38	32	6	1	-	1	30	-	6	-
2017	마포구	91	68	23	-	-	1	50	-	40	-
2017	양천구	64	55	9	1	-	1	45	-	17	-
2017	강서구	75	61	14	2	-	1	45	-	27	-
2017	구로구	47	35	12	1	-	1	23	-	22	-
2017	금천구	24	19	5	1	-	1	11	-	11	-
2017	영등포구	55	45	10	-	-	1	33	-	21	-
2017	동작구	57	45	12	1	-	1	29	-	26	-
2017	관악구	92	65	27	1	-	1	28	50	12	-
2017	서초구	114	79	35	-	-	1	49	-	64	-
2017	강남구	263	193	70	2	-	1	93	-	167	-
2017	송파구	121	100	21	2	-	1	75	-	43	-
2017	강동구	63	52	11	1	-	1	47	-	14	-
2018	합계	1,977	1,421	556	33	5	25	918	120	870	6
2018	종로구	16	8	8	-	-	1	9	-	6	-
2018	중구	37	26	11	16	-	1	18	-	2	-
2018	용산구	48	35	13	1	-	1	30	-	16	-
2018	성동구	57	48	9	-	-	1	34	-	22	-
2018	광진구	219	122	97	1	-	1	36	56	119	6
2018	동대문구	50	37	13	-	-	1	31	-	18	-
2018	중랑구	61	48	13	1	-	1	25	-	34	-
2018	성북구	69	53	16	1	5	1	33	-	29	-
2018	강북구	59	42	17	1	-	1	52	-	5	-
2018	도봉구	36	34	2	1	-	1	22	-	12	-
2018	노원구	84	50	34	-	-	1	39	-	44	-
2018	은평구	137	75	62	1	-	1	35	-	100	-
2018	서대문구	38	32	6	1	-	1	30	-	6	-
2018	마포구	91	68	23	-	-	1	50	-	40	-
2018	양천구	85	66	19	1	-	1	47	-	36	-
2018	강서구	76	62	14	2	-	1	46	-	27	-
2018	구로구	50	40	10	-	-	1	22	-	27	-
2018	금천구	39	29	10	-	-	1	14	-	24	-
2018	영등포구	55	45	10	-	-	1	33	-	21	-
2018	동작구	45	33	12	1	-	1	21	-	22	-
2018	관악구	116	74	42	-	-	1	32	64	19	-
2018	서초구	52	43	9	1	-	1	50	-	-	-
2018	강남구	263	193	70	2	-	1	93	-	167	-
2018	송파구	125	100	25	1	-	1	63	-	60	-
2018	강동구	69	58	11	1	-	1	53	-	14	-
