기간,animal,자치구,계,인도(주인),입양분양,폐사안락사,계류기증,수의사합계,인구총계
2018,개,동작구,227,118,67,42,0,45,"409,385"
2018,고양이,동작구,30,4,13,13,0,45,"409,385"
2018,기타 동물,동작구,18,1,8,9,0,45,"409,385"
2018,개,마포구,222,106,89,15,12,91,"386,359"
2018,고양이,마포구,297,1,143,130,23,91,"386,359"
2018,기타 동물,마포구,9,1,3,3,2,91,"386,359"
2018,개,서대문구,179,73,23,82,1,38,"323,080"
2018,고양이,서대문구,1,0,0,1,0,38,"323,080"
2018,기타 동물,서대문구,8,0,3,5,0,38,"323,080"
2018,개,서초구,124,42,15,64,3,52,"438,163"
2018,고양이,서초구,53,1,9,43,0,52,"438,163"
2018,기타 동물,서초구,5,0,4,1,0,52,"438,163"
2018,개,성동구,155,46,31,77,1,57,"316,463"
2018,고양이,성동구,81,1,9,71,0,57,"316,463"
2018,기타 동물,성동구,9,1,6,2,0,57,"316,463"
2018,개,성북구,261,78,43,138,2,69,"447,687"
2018,고양이,성북구,82,0,28,54,0,69,"447,687"
2018,기타 동물,성북구,9,0,6,3,0,69,"447,687"
2018,개,송파구,211,57,62,90,2,125,"673,507"
2018,고양이,송파구,104,2,12,90,0,125,"673,507"
2018,기타 동물,송파구,11,0,6,5,0,125,"673,507"
2018,개,양천구,231,117,112,2,0,85,"468,145"
2018,고양이,양천구,123,11,30,82,0,85,"468,145"
2018,기타 동물,양천구,11,0,8,3,0,85,"468,145"
2018,개,영등포구,139,50,44,43,2,55,"403,600"
2018,고양이,영등포구,75,3,12,58,2,55,"403,600"
2018,기타 동물,영등포구,15,1,8,6,0,55,"403,600"
2018,개,용산구,190,79,74,17,20,48,"245,090"
2018,고양이,용산구,98,3,42,45,8,48,"245,090"
2018,기타 동물,용산구,6,0,4,2,0,48,"245,090"
2018,개,은평구,285,95,52,133,5,137,"487,666"
2018,고양이,은평구,87,1,8,78,0,137,"487,666"
2018,기타 동물,은평구,12,1,11,0,0,137,"487,666"
2018,개,종로구,122,50,23,49,0,16,"163,026"
2018,고양이,종로구,112,8,10,94,0,16,"163,026"
2018,기타 동물,종로구,6,0,4,2,0,16,"163,026"
2018,개,중구,92,29,24,38,1,37,"135,633"
2018,고양이,중구,59,0,5,54,0,37,"135,633"
2018,기타 동물,중구,12,2,6,4,0,37,"135,633"
2018,개,중랑구,259,84,72,100,3,61,"408,147"
2018,고양이,중랑구,137,3,23,111,0,61,"408,147"
2018,기타 동물,중랑구,10,0,7,3,0,61,"408,147"
