기간,animal,자치구,계,인도(주인),입양분양,폐사안락사,계류기증
2012,개,마포구,403,103,123,47,130
2012,고양이,마포구,665,7,114,204,340
2012,기타 동물,마포구,16,0,7,5,4
2012,개,서대문구,258,47,99,98,14
2012,고양이,서대문구,189,3,43,139,4
2012,기타 동물,서대문구,8,1,2,4,1
2012,개,서초구,171,37,31,93,10
2012,고양이,서초구,190,4,5,94,87
2012,기타 동물,서초구,12,0,7,5,0
2012,개,성동구,206,33,30,127,16
2012,고양이,성동구,142,1,2,124,15
2012,기타 동물,성동구,8,0,1,6,1
2012,개,성북구,349,66,49,218,16
2012,고양이,성북구,198,3,11,182,2
2012,기타 동물,성북구,22,0,10,11,1
2012,개,송파구,300,72,67,130,31
2012,고양이,송파구,258,3,8,235,12
2012,기타 동물,송파구,4,0,0,4,0
2012,개,양천구,541,175,213,122,31
2012,고양이,양천구,145,4,52,76,13
2012,기타 동물,양천구,11,0,4,6,1
2012,개,영등포구,239,34,55,126,24
2012,고양이,영등포구,133,1,14,110,8
2012,기타 동물,영등포구,5,0,3,2,0
2012,개,용산구,461,115,323,12,11
2012,고양이,용산구,552,9,416,108,19
2012,기타 동물,용산구,51,4,34,10,3
2012,개,은평구,406,91,53,262,0
2012,고양이,은평구,111,1,6,104,0
2012,기타 동물,은평구,12,0,10,2,0
2012,개,종로구,129,17,31,77,4
2012,고양이,종로구,238,2,72,163,1
2012,기타 동물,종로구,4,1,0,3,0
2012,개,중구,97,17,9,71,0
2012,고양이,중구,102,0,44,58,0
2012,기타 동물,중구,4,0,0,4,0
2012,개,중랑구,392,74,72,230,16
2012,고양이,중랑구,109,0,70,28,11
2012,기타 동물,중랑구,12,0,6,6,0
2013,개,강남구,197,65,29,102,1
2013,고양이,강남구,104,2,9,93,0
2013,기타 동물,강남구,16,0,14,2,0
2013,개,강동구,334,91,58,180,5
2013,고양이,강동구,16,1,8,7,0
2013,기타 동물,강동구,11,0,11,0,0
2013,개,강북구,400,77,40,250,33
2013,고양이,강북구,123,1,4,113,5
2013,기타 동물,강북구,15,0,7,4,4
2013,개,강서구,371,94,47,228,2
2013,고양이,강서구,107,3,10,94,0
2013,기타 동물,강서구,15,0,11,4,0
2013,개,관악구,528,141,339,48,0
2013,고양이,관악구,414,4,240,170,0
2013,기타 동물,관악구,5,0,4,1,0
2013,개,광진구,274,93,37,140,4
2013,고양이,광진구,52,2,7,43,0
2013,기타 동물,광진구,29,2,25,2,0
2013,개,구로구,294,49,40,190,15
2013,고양이,구로구,126,3,3,115,5
2013,기타 동물,구로구,14,1,12,1,0
2013,개,금천구,279,68,68,143,0
2013,고양이,금천구,27,2,5,20,0
2013,기타 동물,금천구,19,1,6,12,0
2013,개,노원구,305,61,34,204,6
2013,고양이,노원구,58,4,3,51,0
2013,기타 동물,노원구,14,3,11,0,0
2013,개,도봉구,272,73,28,169,2
2013,고양이,도봉구,50,1,4,45,0
2013,기타 동물,도봉구,26,0,26,0,0
2013,개,동대문구,327,72,38,131,86
2013,고양이,동대문구,154,3,13,109,29
2013,기타 동물,동대문구,14,0,8,1,5
