기간,animal,자치구,계,인도(주인),입양분양,폐사안락사,계류기증
2017,고양이,양천구,129,5,46,78,0
2017,기타 동물,양천구,9,1,4,4,0
2017,개,영등포구,148,50,38,60,0
2017,고양이,영등포구,83,4,43,36,0
2017,기타 동물,영등포구,11,0,8,3,0
2017,개,용산구,189,105,63,12,9
2017,고양이,용산구,182,3,73,98,8
2017,기타 동물,용산구,15,0,4,8,3
2017,개,은평구,353,89,77,185,2
2017,고양이,은평구,99,7,14,78,0
2017,기타 동물,은평구,11,1,9,1,0
2017,개,종로구,161,45,26,89,1
2017,고양이,종로구,124,4,9,111,0
2017,기타 동물,종로구,3,0,2,1,0
2017,개,중구,99,26,25,46,2
2017,고양이,중구,75,2,7,66,0
2017,기타 동물,중구,11,0,8,3,0
2017,개,중랑구,284,96,84,104,0
2017,고양이,중랑구,131,6,10,115,0
2017,기타 동물,중랑구,8,0,7,1,0
2018,개,강남구,158,58,41,57,2
2018,고양이,강남구,100,10,17,73,0
2018,기타 동물,강남구,13,1,5,7,0
2018,개,강동구,291,130,107,52,2
2018,고양이,강동구,164,0,77,75,12
2018,기타 동물,강동구,3,0,1,2,0
2018,개,강북구,280,98,59,119,4
2018,고양이,강북구,128,0,22,106,0
2018,기타 동물,강북구,12,1,7,4,0
2018,개,강서구,288,99,81,103,5
2018,고양이,강서구,127,4,17,106,0
2018,기타 동물,강서구,10,0,7,3,0
2018,개,관악구,493,207,275,11,0
2018,고양이,관악구,358,11,284,59,4
2018,기타 동물,관악구,29,2,24,3,0
2018,개,광진구,190,93,36,60,1
2018,고양이,광진구,128,1,19,108,0
2018,기타 동물,광진구,7,0,3,4,0
2018,개,구로구,173,41,53,76,3
2018,고양이,구로구,34,1,5,28,0
2018,기타 동물,구로구,8,0,6,2,0
2018,개,금천구,135,37,38,58,2
2018,고양이,금천구,45,0,11,34,0
2018,기타 동물,금천구,1,0,1,0,0
2018,개,노원구,222,63,49,109,1
2018,고양이,노원구,66,2,10,54,0
2018,기타 동물,노원구,6,0,4,2,0
2018,개,도봉구,204,76,45,82,1
2018,고양이,도봉구,65,0,15,50,0
2018,기타 동물,도봉구,7,0,5,2,0
2018,개,동대문구,237,91,57,86,3
2018,고양이,동대문구,53,4,9,40,0
2018,기타 동물,동대문구,8,3,5,0,0
2018,개,동작구,227,118,67,42,0
2018,고양이,동작구,30,4,13,13,0
2018,기타 동물,동작구,18,1,8,9,0
2018,개,마포구,222,106,89,15,12
2018,고양이,마포구,297,1,143,130,23
2018,기타 동물,마포구,9,1,3,3,2
2018,개,서대문구,179,73,23,82,1
2018,고양이,서대문구,1,0,0,1,0
2018,기타 동물,서대문구,8,0,3,5,0
2018,개,서초구,124,42,15,64,3
2018,고양이,서초구,53,1,9,43,0
2018,기타 동물,서초구,5,0,4,1,0
2018,개,성동구,155,46,31,77,1
2018,고양이,성동구,81,1,9,71,0
2018,기타 동물,성동구,9,1,6,2,0
2018,개,성북구,261,78,43,138,2
2018,고양이,성북구,82,0,28,54,0
2018,기타 동물,성북구,9,0,6,3,0
2018,개,송파구,211,57,62,90,2
2018,고양이,송파구,104,2,12,90,0
2018,기타 동물,송파구,11,0,6,5,0
2018,개,양천구,231,117,112,2,0
2018,고양이,양천구,123,11,30,82,0
2018,기타 동물,양천구,11,0,8,3,0
2018,개,영등포구,139,50,44,43,2
2018,고양이,영등포구,75,3,12,58,2
2018,기타 동물,영등포구,15,1,8,6,0
2018,개,용산구,190,79,74,17,20
2018,고양이,용산구,98,3,42,45,8
2018,기타 동물,용산구,6,0,4,2,0
2018,개,은평구,285,95,52,133,5
2018,고양이,은평구,87,1,8,78,0
2018,기타 동물,은평구,12,1,11,0,0
2018,개,종로구,122,50,23,49,0
2018,고양이,종로구,112,8,10,94,0
2018,기타 동물,종로구,6,0,4,2,0
2018,개,중구,92,29,24,38,1
2018,고양이,중구,59,0,5,54,0
2018,기타 동물,중구,12,2,6,4,0
2018,개,중랑구,259,84,72,100,3
2018,고양이,중랑구,137,3,23,111,0
2018,기타 동물,중랑구,10,0,7,3,0
2019,개,강남구,147,44,49,46,8
2019,고양이,강남구,77,5,22,49,1
2019,기타 동물,강남구,10,1,8,1,0
2019,개,강동구,223,83,77,55,8
2019,고양이,강동구,186,2,73,100,11
2019,기타 동물,강동구,7,1,5,1,0
2019,개,강북구,266,91,59,102,14
2019,고양이,강북구,78,0,17,61,0
2019,기타 동물,강북구,23,0,11,12,0
2019,개,강서구,177,66,37,63,11
2019,고양이,강서구,79,1,8,67,3
2019,기타 동물,강서구,8,1,3,4,0
2019,개,관악구,428,181,225,22,0
2019,고양이,관악구,371,17,282,72,0
2019,기타 동물,관악구,16,0,15,1,0
2019,개,광진구,141,57,34,40,10
2019,고양이,광진구,95,3,10,82,0
2019,기타 동물,광진구,14,0,8,6,0
2019,개,구로구,158,48,36,67,7
2019,고양이,구로구,130,1,6,37,86
2019,기타 동물,구로구,6,0,3,3,0
2019,개,금천구,128,39,26,56,7
2019,고양이,금천구,68,0,18,50,0
2019,기타 동물,금천구,5,1,2,2,0
2019,개,노원구,210,69,50,78,13
2019,고양이,노원구,84,4,10,70,0
2019,기타 동물,노원구,10,1,7,2,0
2019,개,도봉구,180,64,43,65,8
2019,고양이,도봉구,70,0,11,59,0
2019,기타 동물,도봉구,12,0,7,5,0
2019,개,동대문구,184,70,36,67,11
2019,고양이,동대문구,95,0,6,89,0
2019,기타 동물,동대문구,10,0,4,6,0
2019,개,동작구,185,111,39,30,5
2019,고양이,동작구,68,2,20,46,0
2019,기타 동물,동작구,17,0,4,13,0
2019,개,마포구,152,70,58,16,8
2019,고양이,마포구,371,5,206,139,21
2019,기타 동물,마포구,18,3,8,6,1
2019,개,서대문구,141,53,27,52,9
2019,고양이,서대문구,21,1,2,18,0
2019,기타 동물,서대문구,4,0,4,0,0
2019,개,서초구,110,35,32,31,12
2019,고양이,서초구,57,1,6,49,1
2019,기타 동물,서초구,7,1,1,5,0
2019,개,성동구,121,50,28,39,4
2019,고양이,성동구,70,2,6,62,0
2019,기타 동물,성동구,8,0,6,2,0
2019,개,성북구,187,65,33,80,9
2019,고양이,성북구,61,1,14,46,0
2019,기타 동물,성북구,5,0,3,2,0
2019,개,송파구,179,75,36,58,10
2019,고양이,송파구,83,5,9,68,1
2019,기타 동물,송파구,7,0,6,1,0
2019,개,양천구,208,116,88,4,0
2019,고양이,양천구,110,4,59,47,0
2019,기타 동물,양천구,8,0,6,2,0
2019,개,영등포구,142,53,31,42,16
2019,고양이,영등포구,73,3,12,58,0
2019,기타 동물,영등포구,15,0,12,2,1
2019,개,용산구,168,104,45,8,11
2019,고양이,용산구,106,9,44,40,13
2019,기타 동물,용산구,7,1,2,3,1
2019,개,은평구,252,87,41,106,18
2019,고양이,은평구,71,3,3,64,1
2019,기타 동물,은평구,14,2,5,6,1
2019,개,종로구,134,38,25,65,6
2019,고양이,종로구,102,0,9,92,1
2019,기타 동물,종로구,9,0,7,2,0
2019,개,중구,65,17,17,29,2
2019,고양이,중구,60,0,13,47,0
2019,기타 동물,중구,9,0,7,2,0
2019,개,중랑구,247,108,50,79,10
2019,고양이,중랑구,140,2,17,121,0
2019,기타 동물,중랑구,7,2,3,2,0
