year,month,title,writer,rank,split_writer,nouns
2003,4,톨스토이 단편선,"레프 니콜라예비치 톨스토이 (지은이), 박형규 (옮긴이) | 인디북 (인디아이) |",1,"[('레프 니콜라예비치 톨스토이 ', '지은이'), (', 박형규 ', '옮긴이'), (' | 인디북 ', '인디아이')]","['톨스토이', '단편', '선']"
2003,4,화,"틱낫한 (지은이), 최수민  (옮긴이) |",2,"[('틱낫한 ', '지은이'), (', 최수민  ', '옮긴이')]",['화']
2003,4,언제까지나 너를 사랑해,"로버트 먼치 (지은이), 안토니 루이스 (그림), 김숙  (옮긴이) |",3,"[('로버트 먼치 ', '지은이'), (', 안토니 루이스 ', '그림'), (', 김숙  ', '옮긴이')]",['너를 사랑해']
2003,4,한국의 부자들,한상복  (지은이) |,4,"[('한상복  ', '지은이')]","['한국', '부자']"
2003,4,누가 내 머리에 똥 쌌어?,"베르너 홀츠바르트 (글), 볼프 에를브루흐  (그림) |",5,"[('베르너 홀츠바르트 ', '글'), (', 볼프 에를브루흐  ', '그림')]","['머리', '똥']"
2003,4,고릴라,"앤서니 브라운 (지은이), 장은수  (옮긴이) |",6,"[('앤서니 브라운 ', '지은이'), (', 장은수  ', '옮긴이')]",['고릴라']
2003,4,강아지똥,"권정생 (글), 정승각  (그림) |",7,"[('권정생 ', '글'), (', 정승각  ', '그림')]",['강아지똥']
2003,4,달님 안녕,하야시 아키코  (지은이) |,8,"[('하야시 아키코  ', '지은이')]","['달님', '안녕']"
2003,4,나의 첫 지도책,"빌 보일 (지은이), 데이브 홉킨스 (그림), 장성희 (옮긴이), 이은실 (감수) | 북스캔 (대교북스캔) |",9,"[('빌 보일 ', '지은이'), (', 데이브 홉킨스 ', '그림'), (', 장성희 ', '옮긴이'), (', 이은실 ', '감수'), (' | 북스캔 ', '대교북스캔')]",['지도책']
2003,4,정민 선생님이 들려주는 한시 이야기,정민  (지은이) |,10,"[('정민  ', '지은이')]","['정민', '선생님', '한시', '이야기']"
2003,4,우리 몸의 구멍,"허은미 (글), 이혜리 (그림) | 길벗어린이 (천둥거인) |",11,"[('허은미 ', '글'), (', 이혜리 ', '그림'), (' | 길벗어린이 ', '천둥거인')]","['몸', '구멍']"
